date,account,value,ID,counterparty_account_id,sys_note,acc_note,note_1,note_2,main_category,subcategory,wni,account_id,income
2020-01-01 00:00:00.000000000,,-746,1f27af25-bf88-4ced-b2e5-6bdcfdf4769b,,,,,,other,other_other,wants,Example shared account,False
2020-01-02 05:11:21.081081081,,-976,8c611550-202a-43b8-a494-2cf9c1f2c387,,,,,,other,games,wants,Example shared account,False
2020-01-03 10:22:42.162162162,,-634,92250471-9a53-4eba-9014-79dadc483a82,,,,,,subscriptions,internet_provider,needs,Example shared account,False
2020-01-04 15:34:03.243243243,,-484,5a57d67b-3e04-44cd-9fad-d6fe9692fef2,,,,,,other,games,wants,Example shared account,False
2020-01-05 20:45:24.324324324,,-815,1d0e5371-3737-4d22-9eb9-642f4b3833c7,,,,,,investments,stocks,investments,Example shared account,False
2020-01-07 01:56:45.405405405,,-715,3e233fb6-adb7-4199-bc03-c12ca5842289,,,,,,investments,investments_other,investments,Example shared account,False
2020-01-08 07:08:06.486486486,,4090,5d60ca87-2136-4592-a371-f11ca3f5eb8d,,,,,,jobs,my main job,income,Example shared account,True
2020-01-09 12:19:27.567567567,,-234,9c459ee2-aa89-415f-9fd8-48c00e7a4d4d,,,,,,transport,gas,needs,Example shared account,False
2020-01-10 17:30:48.648648648,,2270,6adef13c-b758-4b9b-81e2-f565be590ede,,,,,,jobs,jobs_other,income,Example shared account,True
2020-01-11 22:42:09.729729729,,-819,97328bd0-bdaf-41c8-a8ba-1d67300179f2,,,,,,transport,public_transport,needs,Example shared account,False
2020-01-13 03:53:30.810810810,,-571,b1e9ec2f-6acf-4b5a-9dbf-e95b3a55f115,,,,,,transport,transport_other,wants,Example shared account,False
2020-01-14 09:04:51.891891891,,-590,0fb68910-931f-41ab-aec5-c6d1a4d8bca8,,,,,,food,restaurants,wants,Example shared account,False
2020-01-15 14:16:12.972972973,,-336,4c85ca68-6810-4729-ba98-8cb116234348,,,,,,subscriptions,internet_provider,needs,Example shared account,False
2020-01-16 19:27:34.054054054,,-244,13b8d02e-4d37-4728-9cf4-343b945deb28,,,,,,transport,transport_other,wants,Example shared account,False
2020-01-18 00:38:55.135135135,,-555,35ecb476-a991-46f4-852d-26eebbde8c54,,,,,,other,games,wants,Example shared account,False
2020-01-19 05:50:16.216216216,,-943,cc4f5f63-abe8-4d27-8959-b8e613f9c7c1,,,,,,food,groceries,needs,Example shared account,False
2020-01-20 11:01:37.297297297,,-447,997801d5-e610-4bc1-89e9-ca6c78b3bf2b,,,,,,subscriptions,subscriptions_other,wants,Example shared account,False
2020-01-21 16:12:58.378378378,,-355,3e0d6a41-97d2-4826-8c02-4b37e108be5d,,,,,,transport,public_transport,needs,Example shared account,False
2020-01-22 21:24:19.459459459,,-605,a47a7c8b-0bbb-4b0c-99a6-ec4b2b0282a1,,,,,,food,groceries,needs,Example shared account,False
2020-01-24 02:35:40.540540540,,-867,5fd20107-64d3-4cd6-9c9e-96618419e8cb,,,,,,other,games,wants,Example shared account,False
2020-01-25 07:47:01.621621621,,-882,7adab933-d56e-4c11-b73b-901d033f391e,,,,,,subscriptions,streaming,wants,Example shared account,False
2020-01-26 12:58:22.702702702,,2005,0db583c1-d33f-45c1-b480-71abeb4444de,,,,,,jobs,jobs_other,income,Example shared account,True
2020-01-27 18:09:43.783783783,,-620,f39d6ac4-9f1e-4c32-a84b-6d09559b1a88,,,,,,food,food_other,wants,Example shared account,False
2020-01-28 23:21:04.864864865,,-120,c8e7d058-1a16-4f32-89e5-e53e723924bd,,,,,,food,groceries,needs,Example shared account,False
2020-01-30 04:32:25.945945946,,-795,a5fd577c-d7ab-4445-b1c6-3c8187f8bd5b,,,,,,transport,gas,needs,Example shared account,False
2020-01-31 09:43:47.027027027,,-225,06a5fa99-ab83-4984-a865-1e39577f6c0b,,,,,,subscriptions,clouds,wants,Example shared account,False
2020-02-01 14:55:08.108108108,,-463,6e8d9b17-38ec-4746-8019-f8934e7ca7a5,,,,,,subscriptions,clouds,wants,Example shared account,False
2020-02-02 20:06:29.189189189,,-312,2c028e6b-b4e8-4331-a545-f1f8324d3b61,,,,,,transport,transport_other,wants,Example shared account,False
2020-02-04 01:17:50.270270270,,-849,d8691f74-6d24-4fb2-bc8e-248e18077506,,,,,,investments,investments_other,investments,Example shared account,False
2020-02-05 06:29:11.351351351,,-235,0a0473c6-50da-4d2c-ae0d-343f64effb28,,,,,,food,food_other,wants,Example shared account,False
2020-02-06 11:40:32.432432432,,-888,99f07047-576a-4a69-8e8c-f4f3b6a138cf,,,,,,investments,investments_other,investments,Example shared account,False
2020-02-07 16:51:53.513513513,,3285,6b5ed274-437d-442c-b314-88cf26b0a0a5,,,,,,jobs,my main job,income,Example shared account,True
2020-02-08 22:03:14.594594594,,-808,5e36ea5f-04ac-451d-8a70-f979d5f1d299,,,,,,subscriptions,clouds,wants,Example shared account,False
2020-02-10 03:14:35.675675675,,-783,ce01217f-16e5-46d7-b02e-d12108f74c51,,,,,,other,other_other,wants,Example shared account,False
2020-02-11 08:25:56.756756756,,-845,5196d7a4-627e-4806-8d14-2cd14db291bf,,,,,,other,games,wants,Example shared account,False
2020-02-12 13:37:17.837837837,,-85,b12d5e75-d559-42f5-8270-3c724b686e48,,,,,,subscriptions,streaming,wants,Example shared account,False
2020-02-13 18:48:38.918918919,,-388,177309b6-777d-4139-ba59-2d42427dcd5c,,,,,,subscriptions,subscriptions_other,wants,Example shared account,False
2020-02-15 00:00:00.000000000,,-52,b34e27ee-0274-4286-85f9-61276a45402a,,,,,,other,other_other,wants,Example shared account,False
2020-02-16 05:11:21.081081081,,-624,ede2e621-55ae-4b76-a684-323b326113ef,,,,,,other,other_other,wants,Example shared account,False
2020-02-17 10:22:42.162162162,,4655,7225ea85-7296-4f93-966c-36d3879c95e8,,,,,,jobs,jobs_other,income,Example shared account,True
2020-02-18 15:34:03.243243243,,-499,c431bab0-1eed-4cec-a3f2-28601afe6d0e,,,,,,transport,transport_other,wants,Example shared account,False
2020-02-19 20:45:24.324324324,,-264,c088862a-355d-4d7e-855b-89c7e4879bc3,,,,,,subscriptions,streaming,wants,Example shared account,False
2020-02-21 01:56:45.405405405,,-211,1a604cba-6f96-4d0f-b504-411639d64c87,,,,,,food,restaurants,wants,Example shared account,False
2020-02-22 07:08:06.486486486,,-195,2e358f9d-7264-4625-9a55-0b38a5763176,,,,,,investments,stocks,investments,Example shared account,False
2020-02-23 12:19:27.567567567,,-659,93aa2559-e9f9-4f58-b1ce-b1073cf0752e,,,,,,subscriptions,streaming,wants,Example shared account,False
2020-02-24 17:30:48.648648649,,-594,933aee62-6c70-4369-b88d-8d8ec14a6d0f,,,,,,other,games,wants,Example shared account,False
2020-02-25 22:42:09.729729730,,-643,b03d2088-b6ee-4972-a9b1-7fc8220ee53c,,,,,,subscriptions,subscriptions_other,wants,Example shared account,False
2020-02-27 03:53:30.810810811,,3770,88622aa4-560c-415a-98c5-6ae8b9322f7d,,,,,,jobs,my main job,income,Example shared account,True
2020-02-28 09:04:51.891891892,,-278,15a05331-ec7e-4629-a5d6-23298a9a9736,,,,,,subscriptions,internet_provider,needs,Example shared account,False
2020-02-29 14:16:12.972972973,,-729,e18759ee-c87c-49c2-858e-9341eb55fb63,,,,,,transport,transport_other,wants,Example shared account,False
2020-03-01 19:27:34.054054054,,-341,9728945c-8b06-460a-b2a5-d68238aa632a,,,,,,other,other_other,wants,Example shared account,False
2020-03-03 00:38:55.135135135,,-841,39efbcb1-e061-4774-89e1-3f57087fac4c,,,,,,food,restaurants,wants,Example shared account,False
2020-03-04 05:50:16.216216216,,-11,b88dbbcd-0b39-463a-8b50-0e0893d42fe5,,,,,,subscriptions,rent,needs,Example shared account,False
2020-03-05 11:01:37.297297297,,-79,e5f86fb3-5ecf-442c-84a2-87d6932ffd2b,,,,,,investments,stocks,investments,Example shared account,False
2020-03-06 16:12:58.378378378,,-417,36ee6085-6fea-44f7-a22f-e11048436549,,,,,,subscriptions,clouds,wants,Example shared account,False
2020-03-07 21:24:19.459459459,,-164,6ec1c63c-4fc1-41cc-ac72-2e029a423dcb,,,,,,other,games,wants,Example shared account,False
2020-03-09 02:35:40.540540540,,-246,e5dd39a1-24fb-4053-a65b-aa1c2cbf61de,,,,,,food,restaurants,wants,Example shared account,False
2020-03-10 07:47:01.621621621,,1420,dab1e113-d1cd-4419-a237-59fff26e70b4,,,,,,jobs,jobs_other,income,Example shared account,True
2020-03-11 12:58:22.702702703,,-859,55c981b7-8c0c-4d6b-afae-fc6aff4a8487,,,,,,subscriptions,internet_provider,needs,Example shared account,False
2020-03-12 18:09:43.783783784,,-48,778ed9ae-b901-4a92-ac27-3d17f33a1fac,,,,,,investments,investments_other,investments,Example shared account,False
2020-03-13 23:21:04.864864865,,-636,77840838-a0af-427b-9800-2846b05e1a31,,,,,,food,restaurants,wants,Example shared account,False
2020-03-15 04:32:25.945945946,,-126,7b83b238-71e5-4811-9513-f6e0979f2a6f,,,,,,other,games,wants,Example shared account,False
